food_id,alias,language,alias_type,source_id,source_record_id
GF-ING-00001,"Amaranth seed, black",English,source_name,SRC-IFCT2017,A001
GF-ING-00001,Moricha guti,Assamese,regional_name,SRC-IFCT2017,A001
GF-ING-00001,Ramdana,Hindi,regional_name,SRC-IFCT2017,A001
GF-ING-00001,Danthu beeja,Kannada,regional_name,SRC-IFCT2017,A001
GF-ING-00001,Mawal,Kashmiri,regional_name,SRC-IFCT2017,A001
GF-ING-00001,Cheera vithu,Malayalam,regional_name,SRC-IFCT2017,A001
GF-ING-00001,Chengkruk Maru,Manipuri,regional_name,SRC-IFCT2017,A001
GF-ING-00001,Cavali biya,Marathi,regional_name,SRC-IFCT2017,A001
GF-ING-00001,Kosala sag manji Dhala,Odia,regional_name,SRC-IFCT2017,A001
GF-ING-00001,Chaulali beej,Punjabi,regional_name,SRC-IFCT2017,A001
GF-ING-00001,Keerai vidai,Tamil,regional_name,SRC-IFCT2017,A001
GF-ING-00001,Thotakoora ginjalu.,Telugu,regional_name,SRC-IFCT2017,A001
GF-ING-00002,"Amaranth seed, pale brown",English,source_name,SRC-IFCT2017,A002
GF-ING-00002,Moricha guti,Assamese,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Rajagaro,Gujarati,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Ramdana,Hindi,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Danthu beeja,Kannada,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Mawal,Kashmiri,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Cheera vithu,Malayalam,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Chengkruk Maru,Manipuri,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Cavali biya,Marathi,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Kosala sag maji kale,Odia,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Chaulali beej,Punjabi,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Keerai vidai,Tamil,regional_name,SRC-IFCT2017,A002
GF-ING-00002,Thotakoora ginjalu.,Telugu,regional_name,SRC-IFCT2017,A002
GF-ING-00003,Bajra,English,source_name,SRC-IFCT2017,A003
GF-ING-00003,", Kash. Baajra",Assamese,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Bajra,Bengali,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Pearl millet,English,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Bajri,Gujarati,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Bajra,Hindi,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Sajje,Kannada,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Krai,Khasi,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Kambam,Malayalam,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Bajra,Marathi,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Bajara,Nepali,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Bajra,Odia,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Bajra,Punjabi,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Kambu,Tamil,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Sajjalu,Telugu,regional_name,SRC-IFCT2017,A003
GF-ING-00003,Bajra.,Urdu,regional_name,SRC-IFCT2017,A003
GF-ING-00004,Barley,English,source_name,SRC-IFCT2017,A004
GF-ING-00004,Barli,Assamese,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Barley,Bengali,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Jav,Gujarati,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Jau,Hindi,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Barley,Kannada,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Wushke,Kashmiri,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Krai,Khasi,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Barley,Malayalam,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Sath,Marathi,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Jau,Nepali,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Jaba,Odia,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Jao,Punjabi,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Yava,Sanskrit,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Baarli Arisi,Tamil,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Barley,Telugu,regional_name,SRC-IFCT2017,A004
GF-ING-00004,Jau.,Urdu,regional_name,SRC-IFCT2017,A004
GF-ING-00005,Jowar,English,source_name,SRC-IFCT2017,A005
GF-ING-00005,Jowar,Assamese,regional_name,SRC-IFCT2017,A005
GF-ING-00005,Jowar,Bengali,regional_name,SRC-IFCT2017,A005
GF-ING-00005,Sorghum,English,regional_name,SRC-IFCT2017,A005
GF-ING-00005,Jowar,Gujarati,regional_name,SRC-IFCT2017,A005
GF-ING-00005,Jowar,Hindi,regional_name,SRC-IFCT2017,A005
GF-ING-00005,Jolada,Kannada,regional_name,SRC-IFCT2017,A005
GF-ING-00005,Pingu,Kashmiri,regional_name,SRC-IFCT2017,A005
GF-ING-00005,Krai,Khasi,regional_name,SRC-IFCT2017,A005
GF-ING-00005,irunku,Malayalam,regional_name,SRC-IFCT2017,A005
