food_id,source_record_id,source_name,family,food_group,scientific_name,aliases,energy_kcal,protein_g,carb_g,fat_g,data_status,nutrition_basis,resolution_rule,gofit_note
GF-ING-00330,N001,"Chicken, poultry, leg, skinless",chicken/poultry,Poultry,,"Chicken, poultry, leg, skinless; Murgir Theng/Bhori; Murgir Thyang/Ran; Marghi ni Tang; Murga Tang/Murgi ki Raan; Koli Kaalu; Syiar Kjat; Kombi Paayn/Paanv; Kozhi Kaal; Yen Khong; Kombdi Tangdi/Mandi; Kukhura ko Khutta; Kukuda Goda; Murge di Latt/Raan; Kodi Kaallu; Murgh ki Tang/Raan.",383.604206500956,19.44,0.0,12.64,source_backed_ifct2017,per_100g,Preserve species/cut/state; do not map to generic chicken/mutton/fish.,Preserve species/cut/preparation; use exact source record.
GF-ING-00331,N002,"Chicken, poultry, thigh, skinless",chicken/poultry,Poultry,,"Chicken, poultry, thigh, skinless; Murgir Ran; Marghi ni Saathal; Murge ki Raan/Jangh; Koli Thode; Syiar Lbong; Kombiecho Mandi; Kozhi Thuda; Yenpham; Kombdichi Mandi; Kukhura ko Tighra; Kukuda Ran; Murge di Patt/Raan; Kozhi Thodai; Kodi Thodala Mamsam; Murgh ki Raan.",199.80879541108985,18.18,0.0,14.23,source_backed_ifct2017,per_100g,Preserve species/cut/state; do not map to generic chicken/mutton/fish.,Preserve species/cut/preparation; use exact source record.
GF-ING-00332,N003,"Chicken, poultry, breast, skinless",chicken/poultry,Poultry,,"Chicken, poultry, breast, skinless; Murgir Buku; Murgir Book; Marghi ni Chhaati; Murge ka Seena; Koli Ede Mamsa; Syiar Shadem; Kombiechem Hadoo; Kozhi Maaridam/Nenju; Yen Thangbak; Kombdichi Chhaati; Kukhura ko Chhati; Kukuda Chhati; Murge da Seena; Kozhi Maarbu Kari; Kodi Chaati Mamsam; Murgh ka Seena.",168.26003824091777,21.81,0.0,9.0,source_backed_ifct2017,per_100g,Preserve species/cut/state; do not map to generic chicken/mutton/fish.,Preserve species/cut/preparation; use exact source record.
GF-ING-00333,N004,"Chicken, poultry, wing, skinless",chicken/poultry,Poultry,,"Chicken, poultry, wing, skinless; Murgir Pakhi; Murgir Dana/Pakha; Marghi ni Pankh; Murge ka Par/Pankh; Koli Rekke; Syiar Thapniang; Kombiechem Pakhattem; Kozhi Chiraku; Yen Manam; Kombdiche Pankh; Kukhura ko Pankheta; Kukuda Dena; Murge da Par; Kozhi Irakkai; Kodi Rekka; Murgh ka Par.",192.87762906309752,17.42,0.0,13.81,source_backed_ifct2017,per_100g,Preserve species/cut/state; do not map to generic chicken/mutton/fish.,Preserve species/cut/preparation; use exact source record.
GF-ING-00334,N005,"Poultry, chicken, liver",chicken/poultry,Poultry,,"Poultry, chicken, liver; Murgir Kolija; Murgir Mete/Kolija; Marghi nu Kaleju; Murge ki Kaleji; Koli Yakrit/Pittakosha; Syiar Dohjem; Kombiechem Kalliz; Kozhi Karal; Yen Thin; Kombdiche Kaleji; Kukhura ko Kalejo; Kukuda Kalija; Murge di Kaleji; Kozhi Eeral; Kodi Kaleyam; Murgh ki Kaleji.",123.80497131931166,21.57,0.0,4.08,source_backed_ifct2017,per_100g,Preserve species/cut/state; do not map to generic chicken/mutton/fish.,Preserve species/cut/preparation; use exact source record.
GF-ING-00335,N006,"Poultry, chicken, gizzard",chicken/poultry,Poultry,,"Poultry, chicken, gizzard; Murgir Pathri; Murgir Gila; Marghi ni Pathri; Murge ki Pathri/Sangdana; Koli Gijjarda; ?.; Kombiechem Pot; Kozhi Avanakkaaya; Yen Kok; Kombdiche Pot/Vajri; Kukhura ko Jyanamara; Kukuda Pathri; Murge di Pathri; Kozhi Gundaikkai; Kodi Gizzardu; Murgh ki Pathri.",92.25621414913958,18.22,0.0,2.07,source_backed_ifct2017,per_100g,Preserve species/cut/state; do not map to generic chicken/mutton/fish.,Preserve species/cut/preparation; use exact source record.
GF-ING-00336,N007,"Country hen, leg, with skin",chicken/poultry,Poultry,,"Country hen, leg, with skin; Ghironiya Murgir Theng/Bhori; Deshi Murgir Thyang/Ran; Desi Marghi ni Tang; Desi Murge ki Tang/Raan; Naati Koli Kaalu; Syiar Shnong Kjat; Gavtti Kombiecho Paayn; Naadan Kozhi Kaal; Yumshan Yen Khong; Gavran Kombdichi Tangdi; Sthaniya Kukhura ko Khutta; Desi Kukuda Goda; Desi Murge di Latt/Raan; Naattu Kozhi Kaal; Naatu Kodi Kaallu; Desi Murgh ki Tang/Raan.",172.80114722753345,17.01,0.0,11.73,source_backed_ifct2017,per_100g,Preserve species/cut/state; do not map to generic chicken/mutton/fish.,Preserve species/cut/preparation; use exact source record.
GF-ING-00337,N008,"Country hen, thigh, with skin",chicken/poultry,Poultry,,"Country hen, thigh, with skin; Ghironiya Murgir Ran; Deshi Murgir Ran; Desi Marghi ni Saathal; Desi Murge ki Raan/Jangh; Naati Koli Thode; Syiar Shnong Lbong; Gavtti Kombiecho Mandi; Naadan Kozhi Thuda; Yumshan Yenpham; Gavran Kombdichi Mandi; Sthaniya Kukhura ko Tighra; Desi Kukuda Ran; Desi Murge di Patt/Raan; Naattu Kozhi Thodai; Naatu Kodi Thodala Mamsam; Desi Murgh ki Raan.",187.6195028680688,18.29,0.0,12.82,source_backed_ifct2017,per_100g,Preserve species/cut/state; do not map to generic chicken/mutton/fish.,Preserve species/cut/preparation; use exact source record.
GF-ING-00338,N009,"Country hen, breast, with skin",chicken/poultry,Poultry,,"Country hen, breast, with skin; Ghironiya Murgir Buku; Deshi Murgir Book; Desi Marghi ni Chhaati; Desi Murge ka Seena; Naati Koli Ede Mamsa; Syiar Shnong Shadem; Gavtti Kombiechem Hadoo; Naadan Kozhi Maaridam/Nenju; Yumshan Yen Thangbak; Gavran Kombdichi Chhaati; Sthaniya Kukhura ko Chhati; Desi Kukuda Chhati; Desi Murge da Seena; Naattu Kozhi Maarbu Kari; Naatu Kodi Chaati Mamsam; Desi Murgh ka Seena.",179.97131931166348,22.08,0.0,10.2,source_backed_ifct2017,per_100g,Preserve species/cut/state; do not map to generic chicken/mutton/fish.,Preserve species/cut/preparation; use exact source record.
GF-ING-00339,N010,"Country hen, wing, with skin",chicken/poultry,Poultry,,"Country hen, wing, with skin; Ghironiya Murgir Pakhi; Deshi Murgir Dana/Pakha; Desi Marghi ni Pankh; Desi Murge ka Par/Pankh; Naati Koli Rekke; Syiar Shnong Thapniang; Gavtti Kombiechem Pakhattem; Naadan Kozhi Chiraku; Yumshan Yen Manam; Gavran Kombdiche Pankh; Sthaniya Kukhura ko Pankheta; Desi Kukuda Dena; Desi Murge da Par; Naattu Kozhi Irakkai; Naatu Kodi Rekka; Desi Murgh ka Par.",182.60038240917785,18.65,0.0,12.09,source_backed_ifct2017,per_100g,Preserve species/cut/state; do not map to generic chicken/mutton/fish.,Preserve species/cut/preparation; use exact source record.
