dish_family,nutrition_status
Chicken curry,recipe required
Chicken pulao,recipe required
Chicken biryani,recipe required
Chicken fry,recipe required
Chicken 65,recipe required
Tandoori chicken,recipe required
Mutton/goat curry,recipe required
Mutton paya,recipe required
Mutton marag,recipe required
Mutton pulao,recipe required
Mutton biryani,recipe required
Mutton korma,recipe required
Fish curry,recipe required; species matters
Fish fry,recipe required; species matters
Prawn curry,recipe required; prawn species matters
Prawn fry,recipe required; prawn species matters
Prawn biryani,recipe required
Crab curry,recipe required
