food_id,source_record_id,food_name,preparation,yield_factor,source_id
GF-ING-00001,A001,"Amaranth seed, black",Washing,0.985,SRC-IFCT2017
GF-ING-00002,A002,"Amaranth seed, pale brown",Washing,0.985,SRC-IFCT2017
GF-ING-00003,A003,Bajra,Washing,0.985,SRC-IFCT2017
GF-ING-00004,A004,Barley,Washing,0.9833333333,SRC-IFCT2017
GF-ING-00005,A005,Jowar,Washing,0.985,SRC-IFCT2017
GF-ING-00006,A006,"Maize, dry",Washing,0.985,SRC-IFCT2017
GF-ING-00007,A007,"Maize, tender, local","Husking, Silk Removal",0.6,SRC-IFCT2017
GF-ING-00008,A008,"Maize, tender, sweet","Husking, Silk Removal",0.6,SRC-IFCT2017
GF-ING-00009,A009,Quinoa,Washing,0.985,SRC-IFCT2017
GF-ING-00010,A010,Ragi,Cleaning,0.965,SRC-IFCT2017
GF-ING-00011,A011,"Rice, flakes",Washing,0.9866666667,SRC-IFCT2017
GF-ING-00012,A012,"Rice, puffed",,0.99,SRC-IFCT2017
GF-ING-00013,A013,"Rice, raw, brown",Washing,0.985,SRC-IFCT2017
GF-ING-00014,A014,"Rice, parboiled, milled",Washing,0.985,SRC-IFCT2017
GF-ING-00015,A015,"Rice, raw, milled",Washing,0.985,SRC-IFCT2017
GF-ING-00016,A016,Samai,Cleaning,0.965,SRC-IFCT2017
GF-ING-00017,A017,Varagu,Washing,0.985,SRC-IFCT2017
GF-ING-00018,A018,"Wheat flour, refined",,0.99,SRC-IFCT2017
GF-ING-00019,A019,"Wheat flour, atta",,0.99,SRC-IFCT2017
GF-ING-00020,A020,"Wheat, whole",Washing,0.9766666667,SRC-IFCT2017
GF-ING-00021,A021,"Wheat, bulgur",Rinsing,0.9866666667,SRC-IFCT2017
GF-ING-00022,A022,"Wheat, semolina",,0.99,SRC-IFCT2017
GF-ING-00023,A023,"Wheat, vermicelli",,0.99,SRC-IFCT2017
GF-ING-00024,A024,"Wheat, vermicelli, roasted",,0.99,SRC-IFCT2017
GF-ING-00025,B001,"Bengal gram, dal",Washing,0.9883333333,SRC-IFCT2017
GF-ING-00026,B002,"Bengal gram, whole","Washing, Shelling",0.9366666667,SRC-IFCT2017
GF-ING-00027,B003,"Black gram, dal",Washing,0.9883333333,SRC-IFCT2017
GF-ING-00028,B004,"Black gram, whole","Washing, Skin Removal",0.9533333333,SRC-IFCT2017
GF-ING-00029,B005,"Cowpea, brown",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00030,B006,"Cowpea, white",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00031,B007,"Field bean, black",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00032,B008,"Field bean, brown",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00033,B009,"Field bean, white",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00034,B010,"Green gram, dal",Washing,0.9883333333,SRC-IFCT2017
GF-ING-00035,B011,"Green gram, whole",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00036,B012,"Horse gram, whole",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00037,B013,"Lentil, dal",Washing,0.9883333333,SRC-IFCT2017
GF-ING-00038,B014,"Lentil, whole, brown",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00039,B015,"Lentil, whole, yellowish",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00040,B016,Moth bean,Washing,0.9816666667,SRC-IFCT2017
GF-ING-00041,B017,"Peas, dry",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00042,B018,"Rajmah, black",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00043,B019,"Rajmah, brown",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00044,B020,"Rajmah, red",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00045,B021,"Red gram, dal",Washing,0.9883333333,SRC-IFCT2017
GF-ING-00046,B022,"Red gram, whole",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00047,B023,Ricebean,Washing,0.9816666667,SRC-IFCT2017
GF-ING-00048,B024,"Soya bean, brown",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00049,B025,"Soya bean, white",Washing,0.9816666667,SRC-IFCT2017
GF-ING-00050,C001,Agathi leaves,"Stem removal, Damaged leaves removal, Washing",0.7416666667,SRC-IFCT2017
GF-ING-00051,C002,"Amaranth leaves, green","Stem removal, Washing",0.7916666667,SRC-IFCT2017
GF-ING-00052,C003,"Amaranth leaves, red","Stem removal, Washing",0.7916666667,SRC-IFCT2017
GF-ING-00053,C004,"Amaranth leaves, red and green","Stem removal, Washing",0.7916666667,SRC-IFCT2017
GF-ING-00054,C005,"Amaranth, spinous, leaves, green","Stem removal, Washing",0.7916666667,SRC-IFCT2017
GF-ING-00055,C006,"Amaranth, spinous, leaves, red and green","Stem removal, Washing",0.7916666667,SRC-IFCT2017
GF-ING-00056,C007,Basella leaves,"Thicker stem removal, Washing",0.8083333333,SRC-IFCT2017
GF-ING-00057,C008,Bathua leaves,"Thicker stem removal, Washing",0.7666666667,SRC-IFCT2017
GF-ING-00058,C009,Beetroot leaves,"Tough stem removal, Washing",0.7333333333,SRC-IFCT2017
GF-ING-00059,C010,"Betel leaves, big (kolkata)","Washing, Minimal stem trimming",0.8566666667,SRC-IFCT2017
GF-ING-00060,C011,"Betel leaves, small","Washing, Minimal stem trimming",0.8566666667,SRC-IFCT2017
GF-ING-00061,C012,Brussels sprouts,"Base trimming, Outer damaged leaves removal",0.8,SRC-IFCT2017
GF-ING-00062,C013,"Cabbage, Chinese","Outer leaves removal, Core removal, Washing",0.7916666667,SRC-IFCT2017
GF-ING-00063,C014,"Cabbage, collard greens","Outer leaves removal, Thick stem removal, Washing",0.75,SRC-IFCT2017
GF-ING-00064,C015,"Cabbage, green","Outer leaves removal, Core removal, Washing",0.775,SRC-IFCT2017
GF-ING-00065,C016,"Cabbage, violet","Outer leaves removal, Core removal, Washing",0.775,SRC-IFCT2017
GF-ING-00066,C017,Cauliflower leaves,Tough stem removal,0.7666666667,SRC-IFCT2017
GF-ING-00067,C018,"Colocasia leaves, green","Thick stem removal, Washing",0.65,SRC-IFCT2017
GF-ING-00068,C019,Drumstick leaves,"Thicker stem removal, Washing",0.7833333333,SRC-IFCT2017
GF-ING-00069,C020,Fenugreek leaves,"Thicker stem removal, Washing",0.7833333333,SRC-IFCT2017
