food_id,nutrient_code,amount,basis,source_id,source_record_id,value_status
GF-ING-00001,energy_kcal,356.1185468451243,per_100g,SRC-IFCT2017,A001,source
GF-ING-00001,protein_g,14.59,per_100g,SRC-IFCT2017,A001,source
GF-ING-00001,carb_g,59.98,per_100g,SRC-IFCT2017,A001,source
GF-ING-00001,fat_g,5.74,per_100g,SRC-IFCT2017,A001,source
GF-ING-00001,fibre_g,7.02,per_100g,SRC-IFCT2017,A001,source
GF-ING-00001,sodium_mg,0.0027,per_100g,SRC-IFCT2017,A001,source
GF-ING-00001,potassium_mg,0.433,per_100g,SRC-IFCT2017,A001,source
GF-ING-00001,calcium_mg,0.181,per_100g,SRC-IFCT2017,A001,source
GF-ING-00001,iron_mg,0.00933,per_100g,SRC-IFCT2017,A001,source
GF-ING-00001,zinc_mg,0.00266,per_100g,SRC-IFCT2017,A001,source
GF-ING-00001,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A001,source
GF-ING-00002,energy_kcal,355.8795411089866,per_100g,SRC-IFCT2017,A002,source
GF-ING-00002,protein_g,13.27,per_100g,SRC-IFCT2017,A002,source
GF-ING-00002,carb_g,61.46,per_100g,SRC-IFCT2017,A002,source
GF-ING-00002,fat_g,5.56,per_100g,SRC-IFCT2017,A002,source
GF-ING-00002,fibre_g,7.47,per_100g,SRC-IFCT2017,A002,source
GF-ING-00002,sodium_mg,0.00281,per_100g,SRC-IFCT2017,A002,source
GF-ING-00002,potassium_mg,0.413,per_100g,SRC-IFCT2017,A002,source
GF-ING-00002,calcium_mg,0.162,per_100g,SRC-IFCT2017,A002,source
GF-ING-00002,iron_mg,0.00802,per_100g,SRC-IFCT2017,A002,source
GF-ING-00002,zinc_mg,0.00252,per_100g,SRC-IFCT2017,A002,source
GF-ING-00002,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A002,source
GF-ING-00003,energy_kcal,347.9923518164436,per_100g,SRC-IFCT2017,A003,source
GF-ING-00003,protein_g,10.96,per_100g,SRC-IFCT2017,A003,source
GF-ING-00003,carb_g,61.78,per_100g,SRC-IFCT2017,A003,source
GF-ING-00003,fat_g,5.43,per_100g,SRC-IFCT2017,A003,source
GF-ING-00003,fibre_g,11.49,per_100g,SRC-IFCT2017,A003,source
GF-ING-00003,sodium_mg,0.00411,per_100g,SRC-IFCT2017,A003,source
GF-ING-00003,potassium_mg,0.365,per_100g,SRC-IFCT2017,A003,source
GF-ING-00003,calcium_mg,0.02735,per_100g,SRC-IFCT2017,A003,source
GF-ING-00003,iron_mg,0.00642,per_100g,SRC-IFCT2017,A003,source
GF-ING-00003,zinc_mg,0.00276,per_100g,SRC-IFCT2017,A003,source
GF-ING-00003,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A003,source
GF-ING-00004,energy_kcal,315.7265774378585,per_100g,SRC-IFCT2017,A004,source
GF-ING-00004,protein_g,10.94,per_100g,SRC-IFCT2017,A004,source
GF-ING-00004,carb_g,61.29,per_100g,SRC-IFCT2017,A004,source
GF-ING-00004,fat_g,1.3,per_100g,SRC-IFCT2017,A004,source
GF-ING-00004,fibre_g,15.64,per_100g,SRC-IFCT2017,A004,source
GF-ING-00004,sodium_mg,0.00756,per_100g,SRC-IFCT2017,A004,source
GF-ING-00004,potassium_mg,0.268,per_100g,SRC-IFCT2017,A004,source
GF-ING-00004,calcium_mg,0.02864,per_100g,SRC-IFCT2017,A004,source
GF-ING-00004,iron_mg,0.00156,per_100g,SRC-IFCT2017,A004,source
GF-ING-00004,zinc_mg,0.0015,per_100g,SRC-IFCT2017,A004,source
GF-ING-00004,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A004,source
GF-ING-00005,energy_kcal,334.1300191204589,per_100g,SRC-IFCT2017,A005,source
GF-ING-00005,protein_g,9.97,per_100g,SRC-IFCT2017,A005,source
GF-ING-00005,carb_g,67.68,per_100g,SRC-IFCT2017,A005,source
GF-ING-00005,fat_g,1.73,per_100g,SRC-IFCT2017,A005,source
GF-ING-00005,fibre_g,10.22,per_100g,SRC-IFCT2017,A005,source
GF-ING-00005,sodium_mg,0.00542,per_100g,SRC-IFCT2017,A005,source
GF-ING-00005,potassium_mg,0.328,per_100g,SRC-IFCT2017,A005,source
GF-ING-00005,calcium_mg,0.0276,per_100g,SRC-IFCT2017,A005,source
GF-ING-00005,iron_mg,0.00395,per_100g,SRC-IFCT2017,A005,source
GF-ING-00005,zinc_mg,0.00196,per_100g,SRC-IFCT2017,A005,source
GF-ING-00005,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A005,source
GF-ING-00006,energy_kcal,334.1300191204589,per_100g,SRC-IFCT2017,A006,source
GF-ING-00006,protein_g,8.8,per_100g,SRC-IFCT2017,A006,source
GF-ING-00006,carb_g,64.77,per_100g,SRC-IFCT2017,A006,source
GF-ING-00006,fat_g,3.77,per_100g,SRC-IFCT2017,A006,source
GF-ING-00006,fibre_g,12.24,per_100g,SRC-IFCT2017,A006,source
GF-ING-00006,sodium_mg,0.00444,per_100g,SRC-IFCT2017,A006,source
GF-ING-00006,potassium_mg,0.291,per_100g,SRC-IFCT2017,A006,source
GF-ING-00006,calcium_mg,0.00891,per_100g,SRC-IFCT2017,A006,source
GF-ING-00006,iron_mg,0.00249,per_100g,SRC-IFCT2017,A006,source
GF-ING-00006,zinc_mg,0.00227,per_100g,SRC-IFCT2017,A006,source
GF-ING-00006,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A006,source
GF-ING-00007,energy_kcal,119.98087954110898,per_100g,SRC-IFCT2017,A007,source
GF-ING-00007,protein_g,3.57,per_100g,SRC-IFCT2017,A007,source
GF-ING-00007,carb_g,22.69,per_100g,SRC-IFCT2017,A007,source
GF-ING-00007,fat_g,1.4,per_100g,SRC-IFCT2017,A007,source
GF-ING-00007,fibre_g,3.67,per_100g,SRC-IFCT2017,A007,source
GF-ING-00007,sodium_mg,0.00224,per_100g,SRC-IFCT2017,A007,source
GF-ING-00007,potassium_mg,0.167,per_100g,SRC-IFCT2017,A007,source
GF-ING-00007,calcium_mg,0.00635,per_100g,SRC-IFCT2017,A007,source
GF-ING-00007,iron_mg,0.00071,per_100g,SRC-IFCT2017,A007,source
GF-ING-00007,zinc_mg,0.00097,per_100g,SRC-IFCT2017,A007,source
GF-ING-00007,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A007,source
GF-ING-00008,energy_kcal,96.79732313575525,per_100g,SRC-IFCT2017,A008,source
GF-ING-00008,protein_g,4.16,per_100g,SRC-IFCT2017,A008,source
GF-ING-00008,carb_g,16.42,per_100g,SRC-IFCT2017,A008,source
GF-ING-00008,fat_g,1.35,per_100g,SRC-IFCT2017,A008,source
GF-ING-00008,fibre_g,3.3,per_100g,SRC-IFCT2017,A008,source
GF-ING-00008,sodium_mg,0.00223,per_100g,SRC-IFCT2017,A008,source
GF-ING-00008,potassium_mg,0.297,per_100g,SRC-IFCT2017,A008,source
GF-ING-00008,calcium_mg,0.00637,per_100g,SRC-IFCT2017,A008,source
GF-ING-00008,iron_mg,0.00054,per_100g,SRC-IFCT2017,A008,source
GF-ING-00008,zinc_mg,0.00077,per_100g,SRC-IFCT2017,A008,source
GF-ING-00008,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A008,source
GF-ING-00009,energy_kcal,328.39388145315485,per_100g,SRC-IFCT2017,A009,source
GF-ING-00009,protein_g,13.11,per_100g,SRC-IFCT2017,A009,source
GF-ING-00009,carb_g,53.65,per_100g,SRC-IFCT2017,A009,source
GF-ING-00009,fat_g,5.5,per_100g,SRC-IFCT2017,A009,source
GF-ING-00009,fibre_g,14.66,per_100g,SRC-IFCT2017,A009,source
GF-ING-00009,sodium_mg,0.0045,per_100g,SRC-IFCT2017,A009,source
GF-ING-00009,potassium_mg,0.474,per_100g,SRC-IFCT2017,A009,source
GF-ING-00009,calcium_mg,0.198,per_100g,SRC-IFCT2017,A009,source
GF-ING-00009,iron_mg,0.00751,per_100g,SRC-IFCT2017,A009,source
GF-ING-00009,zinc_mg,0.00331,per_100g,SRC-IFCT2017,A009,source
GF-ING-00009,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A009,source
GF-ING-00010,energy_kcal,320.7456978967495,per_100g,SRC-IFCT2017,A010,source
GF-ING-00010,protein_g,7.16,per_100g,SRC-IFCT2017,A010,source
GF-ING-00010,carb_g,66.82,per_100g,SRC-IFCT2017,A010,source
GF-ING-00010,fat_g,1.92,per_100g,SRC-IFCT2017,A010,source
GF-ING-00010,fibre_g,11.18,per_100g,SRC-IFCT2017,A010,source
GF-ING-00010,sodium_mg,0.00475,per_100g,SRC-IFCT2017,A010,source
GF-ING-00010,potassium_mg,0.443,per_100g,SRC-IFCT2017,A010,source
GF-ING-00010,calcium_mg,0.364,per_100g,SRC-IFCT2017,A010,source
GF-ING-00010,iron_mg,0.00462,per_100g,SRC-IFCT2017,A010,source
GF-ING-00010,zinc_mg,0.00253,per_100g,SRC-IFCT2017,A010,source
GF-ING-00010,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A010,source
GF-ING-00011,energy_kcal,353.7284894837476,per_100g,SRC-IFCT2017,A011,source
GF-ING-00011,protein_g,7.44,per_100g,SRC-IFCT2017,A011,source
GF-ING-00011,carb_g,76.75,per_100g,SRC-IFCT2017,A011,source
GF-ING-00011,fat_g,1.14,per_100g,SRC-IFCT2017,A011,source
GF-ING-00011,fibre_g,3.46,per_100g,SRC-IFCT2017,A011,source
GF-ING-00011,sodium_mg,0.00258,per_100g,SRC-IFCT2017,A011,source
GF-ING-00011,potassium_mg,0.148,per_100g,SRC-IFCT2017,A011,source
GF-ING-00011,calcium_mg,0.00919,per_100g,SRC-IFCT2017,A011,source
GF-ING-00011,iron_mg,0.00446,per_100g,SRC-IFCT2017,A011,source
GF-ING-00011,zinc_mg,0.00149,per_100g,SRC-IFCT2017,A011,source
GF-ING-00011,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A011,source
GF-ING-00012,energy_kcal,361.85468451242826,per_100g,SRC-IFCT2017,A012,source
GF-ING-00012,protein_g,7.47,per_100g,SRC-IFCT2017,A012,source
GF-ING-00012,carb_g,77.68,per_100g,SRC-IFCT2017,A012,source
GF-ING-00012,fat_g,1.62,per_100g,SRC-IFCT2017,A012,source
GF-ING-00012,fibre_g,2.56,per_100g,SRC-IFCT2017,A012,source
GF-ING-00012,sodium_mg,0.00369,per_100g,SRC-IFCT2017,A012,source
GF-ING-00012,potassium_mg,0.14,per_100g,SRC-IFCT2017,A012,source
GF-ING-00012,calcium_mg,0.01509,per_100g,SRC-IFCT2017,A012,source
GF-ING-00012,iron_mg,0.00455,per_100g,SRC-IFCT2017,A012,source
GF-ING-00012,zinc_mg,0.00145,per_100g,SRC-IFCT2017,A012,source
GF-ING-00012,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A012,source
GF-ING-00013,energy_kcal,353.7284894837476,per_100g,SRC-IFCT2017,A013,source
GF-ING-00013,protein_g,9.16,per_100g,SRC-IFCT2017,A013,source
GF-ING-00013,carb_g,74.8,per_100g,SRC-IFCT2017,A013,source
GF-ING-00013,fat_g,1.24,per_100g,SRC-IFCT2017,A013,source
GF-ING-00013,fibre_g,4.43,per_100g,SRC-IFCT2017,A013,source
GF-ING-00013,sodium_mg,0.00364,per_100g,SRC-IFCT2017,A013,source
GF-ING-00013,potassium_mg,0.199,per_100g,SRC-IFCT2017,A013,source
GF-ING-00013,calcium_mg,0.01093,per_100g,SRC-IFCT2017,A013,source
GF-ING-00013,iron_mg,0.00102,per_100g,SRC-IFCT2017,A013,source
GF-ING-00013,zinc_mg,0.00168,per_100g,SRC-IFCT2017,A013,source
GF-ING-00013,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A013,source
GF-ING-00014,energy_kcal,351.5774378585086,per_100g,SRC-IFCT2017,A014,source
GF-ING-00014,protein_g,7.81,per_100g,SRC-IFCT2017,A014,source
GF-ING-00014,carb_g,77.16,per_100g,SRC-IFCT2017,A014,source
GF-ING-00014,fat_g,0.55,per_100g,SRC-IFCT2017,A014,source
GF-ING-00014,fibre_g,3.74,per_100g,SRC-IFCT2017,A014,source
GF-ING-00014,sodium_mg,0.00316,per_100g,SRC-IFCT2017,A014,source
GF-ING-00014,potassium_mg,0.142,per_100g,SRC-IFCT2017,A014,source
GF-ING-00014,calcium_mg,0.00811,per_100g,SRC-IFCT2017,A014,source
GF-ING-00014,iron_mg,0.00072,per_100g,SRC-IFCT2017,A014,source
GF-ING-00014,zinc_mg,0.00108,per_100g,SRC-IFCT2017,A014,source
GF-ING-00014,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A014,source
GF-ING-00015,energy_kcal,356.3575525812619,per_100g,SRC-IFCT2017,A015,source
GF-ING-00015,protein_g,7.94,per_100g,SRC-IFCT2017,A015,source
GF-ING-00015,carb_g,78.24,per_100g,SRC-IFCT2017,A015,source
GF-ING-00015,fat_g,0.52,per_100g,SRC-IFCT2017,A015,source
GF-ING-00015,fibre_g,2.81,per_100g,SRC-IFCT2017,A015,source
GF-ING-00015,sodium_mg,0.00234,per_100g,SRC-IFCT2017,A015,source
GF-ING-00015,potassium_mg,0.108,per_100g,SRC-IFCT2017,A015,source
GF-ING-00015,calcium_mg,0.00749,per_100g,SRC-IFCT2017,A015,source
GF-ING-00015,iron_mg,0.00065,per_100g,SRC-IFCT2017,A015,source
GF-ING-00015,zinc_mg,0.00121,per_100g,SRC-IFCT2017,A015,source
GF-ING-00015,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A015,source
GF-ING-00016,energy_kcal,346.31931166347994,per_100g,SRC-IFCT2017,A016,source
GF-ING-00016,protein_g,10.13,per_100g,SRC-IFCT2017,A016,source
GF-ING-00016,carb_g,65.55,per_100g,SRC-IFCT2017,A016,source
GF-ING-00016,fat_g,3.89,per_100g,SRC-IFCT2017,A016,source
GF-ING-00016,fibre_g,7.72,per_100g,SRC-IFCT2017,A016,source
GF-ING-00016,sodium_mg,0.00477,per_100g,SRC-IFCT2017,A016,source
GF-ING-00016,potassium_mg,0.105,per_100g,SRC-IFCT2017,A016,source
GF-ING-00016,calcium_mg,0.01606,per_100g,SRC-IFCT2017,A016,source
GF-ING-00016,iron_mg,0.00126,per_100g,SRC-IFCT2017,A016,source
GF-ING-00016,zinc_mg,0.00182,per_100g,SRC-IFCT2017,A016,source
GF-ING-00016,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A016,source
GF-ING-00017,energy_kcal,331.7399617590822,per_100g,SRC-IFCT2017,A017,source
GF-ING-00017,protein_g,8.92,per_100g,SRC-IFCT2017,A017,source
GF-ING-00017,carb_g,66.19,per_100g,SRC-IFCT2017,A017,source
GF-ING-00017,fat_g,2.55,per_100g,SRC-IFCT2017,A017,source
GF-ING-00017,fibre_g,6.39,per_100g,SRC-IFCT2017,A017,source
GF-ING-00017,sodium_mg,0.00335,per_100g,SRC-IFCT2017,A017,source
GF-ING-00017,potassium_mg,0.094,per_100g,SRC-IFCT2017,A017,source
GF-ING-00017,calcium_mg,0.01527,per_100g,SRC-IFCT2017,A017,source
GF-ING-00017,iron_mg,0.00234,per_100g,SRC-IFCT2017,A017,source
GF-ING-00017,zinc_mg,0.00165,per_100g,SRC-IFCT2017,A017,source
GF-ING-00017,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A017,source
GF-ING-00018,energy_kcal,351.8164435946463,per_100g,SRC-IFCT2017,A018,source
GF-ING-00018,protein_g,10.36,per_100g,SRC-IFCT2017,A018,source
GF-ING-00018,carb_g,74.27,per_100g,SRC-IFCT2017,A018,source
GF-ING-00018,fat_g,0.76,per_100g,SRC-IFCT2017,A018,source
GF-ING-00018,fibre_g,2.76,per_100g,SRC-IFCT2017,A018,source
GF-ING-00018,sodium_mg,0.00154,per_100g,SRC-IFCT2017,A018,source
GF-ING-00018,potassium_mg,0.148,per_100g,SRC-IFCT2017,A018,source
GF-ING-00018,calcium_mg,0.0204,per_100g,SRC-IFCT2017,A018,source
GF-ING-00018,iron_mg,0.00177,per_100g,SRC-IFCT2017,A018,source
GF-ING-00018,zinc_mg,0.00088,per_100g,SRC-IFCT2017,A018,source
GF-ING-00018,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A018,source
GF-ING-00019,energy_kcal,320.26768642447416,per_100g,SRC-IFCT2017,A019,source
GF-ING-00019,protein_g,10.57,per_100g,SRC-IFCT2017,A019,source
GF-ING-00019,carb_g,64.17,per_100g,SRC-IFCT2017,A019,source
GF-ING-00019,fat_g,1.53,per_100g,SRC-IFCT2017,A019,source
GF-ING-00019,fibre_g,11.36,per_100g,SRC-IFCT2017,A019,source
GF-ING-00019,sodium_mg,0.00204,per_100g,SRC-IFCT2017,A019,source
GF-ING-00019,potassium_mg,0.311,per_100g,SRC-IFCT2017,A019,source
GF-ING-00019,calcium_mg,0.03094,per_100g,SRC-IFCT2017,A019,source
GF-ING-00019,iron_mg,0.0041,per_100g,SRC-IFCT2017,A019,source
GF-ING-00019,zinc_mg,0.00285,per_100g,SRC-IFCT2017,A019,source
GF-ING-00019,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A019,source
GF-ING-00020,energy_kcal,321.94072657743783,per_100g,SRC-IFCT2017,A020,source
GF-ING-00020,protein_g,10.59,per_100g,SRC-IFCT2017,A020,source
GF-ING-00020,carb_g,64.72,per_100g,SRC-IFCT2017,A020,source
GF-ING-00020,fat_g,1.47,per_100g,SRC-IFCT2017,A020,source
GF-ING-00020,fibre_g,11.23,per_100g,SRC-IFCT2017,A020,source
GF-ING-00020,sodium_mg,0.0025,per_100g,SRC-IFCT2017,A020,source
GF-ING-00020,potassium_mg,0.366,per_100g,SRC-IFCT2017,A020,source
GF-ING-00020,calcium_mg,0.03936,per_100g,SRC-IFCT2017,A020,source
GF-ING-00020,iron_mg,0.00397,per_100g,SRC-IFCT2017,A020,source
GF-ING-00020,zinc_mg,0.00285,per_100g,SRC-IFCT2017,A020,source
GF-ING-00020,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A020,source
GF-ING-00021,energy_kcal,341.7782026768642,per_100g,SRC-IFCT2017,A021,source
GF-ING-00021,protein_g,10.84,per_100g,SRC-IFCT2017,A021,source
GF-ING-00021,carb_g,69.06,per_100g,SRC-IFCT2017,A021,source
GF-ING-00021,fat_g,1.45,per_100g,SRC-IFCT2017,A021,source
GF-ING-00021,fibre_g,8.81,per_100g,SRC-IFCT2017,A021,source
GF-ING-00021,sodium_mg,0.00209,per_100g,SRC-IFCT2017,A021,source
GF-ING-00021,potassium_mg,0.33,per_100g,SRC-IFCT2017,A021,source
GF-ING-00021,calcium_mg,0.02709,per_100g,SRC-IFCT2017,A021,source
GF-ING-00021,iron_mg,0.00386,per_100g,SRC-IFCT2017,A021,source
GF-ING-00021,zinc_mg,0.00197,per_100g,SRC-IFCT2017,A021,source
GF-ING-00021,cholesterol_mg,0.0,per_100g,SRC-IFCT2017,A021,source
GF-ING-00022,energy_kcal,333.65200764818354,per_100g,SRC-IFCT2017,A022,source
GF-ING-00022,protein_g,11.38,per_100g,SRC-IFCT2017,A022,source
GF-ING-00022,carb_g,68.43,per_100g,SRC-IFCT2017,A022,source
GF-ING-00022,fat_g,0.74,per_100g,SRC-IFCT2017,A022,source
GF-ING-00022,fibre_g,9.72,per_100g,SRC-IFCT2017,A022,source
GF-ING-00022,sodium_mg,0.00231,per_100g,SRC-IFCT2017,A022,source
