food_id,portion_name,portion_value,portion_unit,source_serving_value,source_serving_unit,source_id,source_record_id
GF-REC-00001,serving,1.0,tea cup,1,tea cup,SRC-INDB,INDB_RECIPE_ASC001
GF-REC-00002,serving,1.0,tea cup,1,tea cup,SRC-INDB,INDB_RECIPE_ASC002
GF-REC-00003,serving,1.0,tea cup,1,tea cup,SRC-INDB,INDB_RECIPE_ASC003
GF-REC-00004,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC004
GF-REC-00005,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC005
GF-REC-00006,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC006
GF-REC-00007,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC007
GF-REC-00008,serving,1.0,glass,1,glass,SRC-INDB,INDB_RECIPE_ASC008
GF-REC-00009,serving,1.0,glass,1,glass,SRC-INDB,INDB_RECIPE_ASC009
GF-REC-00010,serving,1.0,glass,1,glass,SRC-INDB,INDB_RECIPE_ASC010
GF-REC-00011,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC011
GF-REC-00012,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC012
GF-REC-00013,serving,1.0,cup,1,tea cup,SRC-INDB,INDB_RECIPE_ASC014
GF-REC-00014,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC015
GF-REC-00015,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC016
GF-REC-00016,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC017
GF-REC-00017,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC018
GF-REC-00018,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC019
GF-REC-00019,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC020
GF-REC-00020,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC021
GF-REC-00021,serving,1.0,tall glass,1,tall glass,SRC-INDB,INDB_RECIPE_ASC022
GF-REC-00022,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC023
GF-REC-00023,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC024
GF-REC-00024,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC025
GF-REC-00025,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC026
GF-REC-00026,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC027
GF-REC-00027,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC028
GF-REC-00028,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC029
GF-REC-00029,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC030
GF-REC-00030,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC031
GF-REC-00031,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC032
GF-REC-00032,serving,2.0,triangle,2,sandwiches,SRC-INDB,INDB_RECIPE_ASC033
GF-REC-00033,serving,1.0,triangle,1,sandwiches,SRC-INDB,INDB_RECIPE_ASC034
