food_id,source_id,source_record_id,source_name,food_group,region_code,scientific_name,source_tags
GF-ING-00001,SRC-IFCT2017,A001,"Amaranth seed, black",Cereals and Millets,1,Amaranthus cruentus,vegetarian eggetarian fishetarian veg
GF-ING-00002,SRC-IFCT2017,A002,"Amaranth seed, pale brown",Cereals and Millets,6,Amaranthus cruentus,vegetarian eggetarian fishetarian veg
GF-ING-00003,SRC-IFCT2017,A003,Bajra,Cereals and Millets,6,Pennisetum typhoideum,vegetarian eggetarian fishetarian veg
GF-ING-00004,SRC-IFCT2017,A004,Barley,Cereals and Millets,6,Hordeum vulgare,vegetarian eggetarian fishetarian veg
GF-ING-00005,SRC-IFCT2017,A005,Jowar,Cereals and Millets,6,Sorghum vulgare,vegetarian eggetarian fishetarian veg
GF-ING-00006,SRC-IFCT2017,A006,"Maize, dry",Cereals and Millets,6,Zea mays,vegetarian eggetarian fishetarian veg
GF-ING-00007,SRC-IFCT2017,A007,"Maize, tender, local",Cereals and Millets,6,Zea mays,vegetarian eggetarian fishetarian veg
GF-ING-00008,SRC-IFCT2017,A008,"Maize, tender, sweet",Cereals and Millets,4,Zea mays,vegetarian eggetarian fishetarian veg
GF-ING-00009,SRC-IFCT2017,A009,Quinoa,Cereals and Millets,1,Chenopodium quinoa,vegetarian eggetarian fishetarian veg
GF-ING-00010,SRC-IFCT2017,A010,Ragi,Cereals and Millets,5,Eleusine coracana,vegetarian eggetarian fishetarian veg
GF-ING-00011,SRC-IFCT2017,A011,"Rice, flakes",Cereals and Millets,6,Oryza sativa,vegetarian eggetarian fishetarian veg
GF-ING-00012,SRC-IFCT2017,A012,"Rice, puffed",Cereals and Millets,6,Oryza sativa,vegetarian eggetarian fishetarian veg
GF-ING-00013,SRC-IFCT2017,A013,"Rice, raw, brown",Cereals and Millets,6,Oryza sativa,vegetarian eggetarian fishetarian veg
GF-ING-00014,SRC-IFCT2017,A014,"Rice, parboiled, milled",Cereals and Millets,6,Oryza sativa,vegetarian eggetarian fishetarian veg
GF-ING-00015,SRC-IFCT2017,A015,"Rice, raw, milled",Cereals and Millets,6,Oryza sativa,vegetarian eggetarian fishetarian veg
GF-ING-00016,SRC-IFCT2017,A016,Samai,Cereals and Millets,6,Panicum sumatrense,vegetarian eggetarian fishetarian veg
GF-ING-00017,SRC-IFCT2017,A017,Varagu,Cereals and Millets,5,Setaria italica,vegetarian eggetarian fishetarian veg
GF-ING-00018,SRC-IFCT2017,A018,"Wheat flour, refined",Cereals and Millets,6,Triticum aestivum,vegetarian eggetarian fishetarian veg
GF-ING-00019,SRC-IFCT2017,A019,"Wheat flour, atta",Cereals and Millets,6,Triticum aestivum,vegetarian eggetarian fishetarian veg
GF-ING-00020,SRC-IFCT2017,A020,"Wheat, whole",Cereals and Millets,6,Triticum aestivum,vegetarian eggetarian fishetarian veg
GF-ING-00021,SRC-IFCT2017,A021,"Wheat, bulgur",Cereals and Millets,6,Triticum aestivum,vegetarian eggetarian fishetarian veg
GF-ING-00022,SRC-IFCT2017,A022,"Wheat, semolina",Cereals and Millets,6,Triticum aestivum,vegetarian eggetarian fishetarian veg
GF-ING-00023,SRC-IFCT2017,A023,"Wheat, vermicelli",Cereals and Millets,6,Triticum aestivum,vegetarian eggetarian fishetarian veg
GF-ING-00024,SRC-IFCT2017,A024,"Wheat, vermicelli, roasted",Cereals and Millets,6,Triticum aestivum,vegetarian eggetarian fishetarian veg
GF-ING-00025,SRC-IFCT2017,B001,"Bengal gram, dal",Grain Legumes,6,Cicer arietinum,vegetarian eggetarian fishetarian veg
GF-ING-00026,SRC-IFCT2017,B002,"Bengal gram, whole",Grain Legumes,6,Cicer arietinum,vegetarian eggetarian fishetarian veg
GF-ING-00027,SRC-IFCT2017,B003,"Black gram, dal",Grain Legumes,6,Phaseolus mungo,vegetarian eggetarian fishetarian veg
GF-ING-00028,SRC-IFCT2017,B004,"Black gram, whole",Grain Legumes,6,Phaseolus mungo,vegetarian eggetarian fishetarian veg
GF-ING-00029,SRC-IFCT2017,B005,"Cowpea, brown",Grain Legumes,6,Vigna catjang,vegetarian eggetarian fishetarian veg
