food_id,canonical_name,entity_type,state,country_region,cuisine,primary_source_id,primary_source_record_id,data_status
GF-ING-00001,"Amaranth seed, black",ingredient,unspecified,India,,SRC-IFCT2017,A001,source_mapped
GF-ING-00002,"Amaranth seed, pale brown",ingredient,unspecified,India,,SRC-IFCT2017,A002,source_mapped
GF-ING-00003,Bajra,ingredient,unspecified,India,,SRC-IFCT2017,A003,source_mapped
GF-ING-00004,Barley,ingredient,unspecified,India,,SRC-IFCT2017,A004,source_mapped
GF-ING-00005,Jowar,ingredient,unspecified,India,,SRC-IFCT2017,A005,source_mapped
GF-ING-00006,"Maize, dry",ingredient,unspecified,India,,SRC-IFCT2017,A006,source_mapped
GF-ING-00007,"Maize, tender, local",ingredient,unspecified,India,,SRC-IFCT2017,A007,source_mapped
GF-ING-00008,"Maize, tender, sweet",ingredient,unspecified,India,,SRC-IFCT2017,A008,source_mapped
GF-ING-00009,Quinoa,ingredient,unspecified,India,,SRC-IFCT2017,A009,source_mapped
GF-ING-00010,Ragi,ingredient,unspecified,India,,SRC-IFCT2017,A010,source_mapped
GF-ING-00011,"Rice, flakes",ingredient,unspecified,India,,SRC-IFCT2017,A011,source_mapped
GF-ING-00012,"Rice, puffed",ingredient,unspecified,India,,SRC-IFCT2017,A012,source_mapped
GF-ING-00013,"Rice, raw, brown",ingredient,raw,India,,SRC-IFCT2017,A013,source_mapped
GF-ING-00014,"Rice, parboiled, milled",ingredient,boiled,India,,SRC-IFCT2017,A014,source_mapped
GF-ING-00015,"Rice, raw, milled",ingredient,raw,India,,SRC-IFCT2017,A015,source_mapped
GF-ING-00016,Samai,ingredient,unspecified,India,,SRC-IFCT2017,A016,source_mapped
GF-ING-00017,Varagu,ingredient,unspecified,India,,SRC-IFCT2017,A017,source_mapped
GF-ING-00018,"Wheat flour, refined",ingredient,unspecified,India,,SRC-IFCT2017,A018,source_mapped
GF-ING-00019,"Wheat flour, atta",ingredient,unspecified,India,,SRC-IFCT2017,A019,source_mapped
GF-ING-00020,"Wheat, whole",ingredient,whole,India,,SRC-IFCT2017,A020,source_mapped
GF-ING-00021,"Wheat, bulgur",ingredient,unspecified,India,,SRC-IFCT2017,A021,source_mapped
GF-ING-00022,"Wheat, semolina",ingredient,unspecified,India,,SRC-IFCT2017,A022,source_mapped
GF-ING-00023,"Wheat, vermicelli",ingredient,unspecified,India,,SRC-IFCT2017,A023,source_mapped
GF-ING-00024,"Wheat, vermicelli, roasted",ingredient,roasted,India,,SRC-IFCT2017,A024,source_mapped
GF-ING-00025,"Bengal gram, dal",ingredient,unspecified,India,,SRC-IFCT2017,B001,source_mapped
GF-ING-00026,"Bengal gram, whole",ingredient,whole,India,,SRC-IFCT2017,B002,source_mapped
GF-ING-00027,"Black gram, dal",ingredient,unspecified,India,,SRC-IFCT2017,B003,source_mapped
GF-ING-00028,"Black gram, whole",ingredient,whole,India,,SRC-IFCT2017,B004,source_mapped
GF-ING-00029,"Cowpea, brown",ingredient,unspecified,India,,SRC-IFCT2017,B005,source_mapped
GF-ING-00030,"Cowpea, white",ingredient,unspecified,India,,SRC-IFCT2017,B006,source_mapped
GF-ING-00031,"Field bean, black",ingredient,unspecified,India,,SRC-IFCT2017,B007,source_mapped
GF-ING-00032,"Field bean, brown",ingredient,unspecified,India,,SRC-IFCT2017,B008,source_mapped
GF-ING-00033,"Field bean, white",ingredient,unspecified,India,,SRC-IFCT2017,B009,source_mapped
GF-ING-00034,"Green gram, dal",ingredient,unspecified,India,,SRC-IFCT2017,B010,source_mapped
GF-ING-00035,"Green gram, whole",ingredient,whole,India,,SRC-IFCT2017,B011,source_mapped
GF-ING-00036,"Horse gram, whole",ingredient,whole,India,,SRC-IFCT2017,B012,source_mapped
