indb_food_id,indb_food_name,indb_primary_source,indb_source_record_id,normalized_source_id,normalized_source_record_id,food_id,mapping_status
SRC_FOOD_L002,1014,ifct_nin,SRC_FOOD_L002,SRC-IFCT2017,L002,GF-ING-00312,mapped
SRC_FOOD_I502,1015,ukfct,SRC_FOOD_I502,SRC-UKFCT,I502,GF-ING-00664,mapped
SRC_FOOD_V510,1016,ukfct,SRC_FOOD_V510,SRC-UKFCT,V510,GF-ING-00668,mapped
SRC_FOOD_K505,1017,ukfct,SRC_FOOD_K505,SRC-UKFCT,K505,GF-ING-00679,mapped
SRC_FOOD_V502,1018,ukfct,SRC_FOOD_V502,SRC-UKFCT,V502,GF-ING-00578,mapped
SRC_FOOD_V504,1019,ukfct,SRC_FOOD_V504,SRC-UKFCT,V504,GF-ING-00592,mapped
SRC_FOOD_E520,1020,ukfct,SRC_FOOD_E520,SRC-UKFCT,E520,GF-ING-00616,mapped
SRC_FOOD_D057,1021,ifct_nin,SRC_FOOD_D057,SRC-IFCT2017,D057,GF-ING-00140,mapped
SRC_FOOD_G016,1022,ifct_nin,SRC_FOOD_G016,SRC-IFCT2017,G016,GF-ING-00264,mapped
SRC_FOOD_G025,1023,ifct_nin,SRC_FOOD_G025,SRC-IFCT2017,G025,GF-ING-00273,mapped
SRC_FOOD_G031,1024,ifct_nin,SRC_FOOD_G031,SRC-IFCT2017,G031,GF-ING-00279,mapped
SRC_FOOD_G528,1025,ukfct,SRC_FOOD_G528,SRC-UKFCT,G528,GF-ING-00651,mapped
SRC_FOOD_E033,1026,ifct_nin,SRC_FOOD_E033,SRC-IFCT2017,E033,GF-ING-00194,mapped
SRC_FOOD_G014,1027,ifct_nin,SRC_FOOD_G014,SRC-IFCT2017,G014,GF-ING-00262,mapped
SRC_FOOD_V509,1028,ukfct,SRC_FOOD_V509,SRC-UKFCT,V509,GF-ING-00642,mapped
SRC_FOOD_E518,1029,ukfct,SRC_FOOD_E518,SRC-UKFCT,E518,GF-ING-00632,mapped
SRC_FOOD_V503,1030,ukfct,SRC_FOOD_V503,SRC-UKFCT,V503,GF-ING-00579,mapped
SRC_FOOD_E053,1031,ifct_nin,SRC_FOOD_E053,SRC-IFCT2017,E053,GF-ING-00214,mapped
