food_id,canonical_name,source_id,source_record_id,usage_status,reason
GF-ING-00001,"Amaranth seed, black",SRC-IFCT2017,A001,usable_source_value,India-first primary source.
GF-ING-00002,"Amaranth seed, pale brown",SRC-IFCT2017,A002,usable_source_value,India-first primary source.
GF-ING-00003,Bajra,SRC-IFCT2017,A003,usable_source_value,India-first primary source.
GF-ING-00004,Barley,SRC-IFCT2017,A004,usable_source_value,India-first primary source.
GF-ING-00005,Jowar,SRC-IFCT2017,A005,usable_source_value,India-first primary source.
GF-ING-00006,"Maize, dry",SRC-IFCT2017,A006,usable_source_value,India-first primary source.
GF-ING-00007,"Maize, tender, local",SRC-IFCT2017,A007,usable_source_value,India-first primary source.
GF-ING-00008,"Maize, tender, sweet",SRC-IFCT2017,A008,usable_source_value,India-first primary source.
GF-ING-00009,Quinoa,SRC-IFCT2017,A009,usable_source_value,India-first primary source.
GF-ING-00010,Ragi,SRC-IFCT2017,A010,usable_source_value,India-first primary source.
GF-ING-00011,"Rice, flakes",SRC-IFCT2017,A011,usable_source_value,India-first primary source.
GF-ING-00012,"Rice, puffed",SRC-IFCT2017,A012,usable_source_value,India-first primary source.
GF-ING-00013,"Rice, raw, brown",SRC-IFCT2017,A013,usable_source_value,India-first primary source.
GF-ING-00014,"Rice, parboiled, milled",SRC-IFCT2017,A014,usable_source_value,India-first primary source.
GF-ING-00015,"Rice, raw, milled",SRC-IFCT2017,A015,usable_source_value,India-first primary source.
GF-ING-00016,Samai,SRC-IFCT2017,A016,usable_source_value,India-first primary source.
GF-ING-00017,Varagu,SRC-IFCT2017,A017,usable_source_value,India-first primary source.
GF-ING-00018,"Wheat flour, refined",SRC-IFCT2017,A018,usable_source_value,India-first primary source.
GF-ING-00019,"Wheat flour, atta",SRC-IFCT2017,A019,usable_source_value,India-first primary source.
GF-ING-00020,"Wheat, whole",SRC-IFCT2017,A020,usable_source_value,India-first primary source.
GF-ING-00021,"Wheat, bulgur",SRC-IFCT2017,A021,usable_source_value,India-first primary source.
GF-ING-00022,"Wheat, semolina",SRC-IFCT2017,A022,usable_source_value,India-first primary source.
GF-ING-00023,"Wheat, vermicelli",SRC-IFCT2017,A023,usable_source_value,India-first primary source.
GF-ING-00024,"Wheat, vermicelli, roasted",SRC-IFCT2017,A024,usable_source_value,India-first primary source.
GF-ING-00025,"Bengal gram, dal",SRC-IFCT2017,B001,usable_source_value,India-first primary source.
GF-ING-00026,"Bengal gram, whole",SRC-IFCT2017,B002,usable_source_value,India-first primary source.
GF-ING-00027,"Black gram, dal",SRC-IFCT2017,B003,usable_source_value,India-first primary source.
GF-ING-00028,"Black gram, whole",SRC-IFCT2017,B004,usable_source_value,India-first primary source.
GF-ING-00029,"Cowpea, brown",SRC-IFCT2017,B005,usable_source_value,India-first primary source.
GF-ING-00030,"Cowpea, white",SRC-IFCT2017,B006,usable_source_value,India-first primary source.
GF-ING-00031,"Field bean, black",SRC-IFCT2017,B007,usable_source_value,India-first primary source.
GF-ING-00032,"Field bean, brown",SRC-IFCT2017,B008,usable_source_value,India-first primary source.
GF-ING-00033,"Field bean, white",SRC-IFCT2017,B009,usable_source_value,India-first primary source.
GF-ING-00034,"Green gram, dal",SRC-IFCT2017,B010,usable_source_value,India-first primary source.
GF-ING-00035,"Green gram, whole",SRC-IFCT2017,B011,usable_source_value,India-first primary source.
GF-ING-00036,"Horse gram, whole",SRC-IFCT2017,B012,usable_source_value,India-first primary source.
GF-ING-00037,"Lentil, dal",SRC-IFCT2017,B013,usable_source_value,India-first primary source.
GF-ING-00038,"Lentil, whole, brown",SRC-IFCT2017,B014,usable_source_value,India-first primary source.
GF-ING-00039,"Lentil, whole, yellowish",SRC-IFCT2017,B015,usable_source_value,India-first primary source.
GF-ING-00040,Moth bean,SRC-IFCT2017,B016,usable_source_value,India-first primary source.
GF-ING-00041,"Peas, dry",SRC-IFCT2017,B017,usable_source_value,India-first primary source.
GF-ING-00042,"Rajmah, black",SRC-IFCT2017,B018,usable_source_value,India-first primary source.
GF-ING-00043,"Rajmah, brown",SRC-IFCT2017,B019,usable_source_value,India-first primary source.
GF-ING-00044,"Rajmah, red",SRC-IFCT2017,B020,usable_source_value,India-first primary source.
GF-ING-00045,"Red gram, dal",SRC-IFCT2017,B021,usable_source_value,India-first primary source.
GF-ING-00046,"Red gram, whole",SRC-IFCT2017,B022,usable_source_value,India-first primary source.
GF-ING-00047,Ricebean,SRC-IFCT2017,B023,usable_source_value,India-first primary source.
GF-ING-00048,"Soya bean, brown",SRC-IFCT2017,B024,usable_source_value,India-first primary source.
GF-ING-00049,"Soya bean, white",SRC-IFCT2017,B025,usable_source_value,India-first primary source.
GF-ING-00050,Agathi leaves,SRC-IFCT2017,C001,usable_source_value,India-first primary source.
GF-ING-00051,"Amaranth leaves, green",SRC-IFCT2017,C002,usable_source_value,India-first primary source.
GF-ING-00052,"Amaranth leaves, red",SRC-IFCT2017,C003,usable_source_value,India-first primary source.
GF-ING-00053,"Amaranth leaves, red and green",SRC-IFCT2017,C004,usable_source_value,India-first primary source.
GF-ING-00054,"Amaranth, spinous, leaves, green",SRC-IFCT2017,C005,usable_source_value,India-first primary source.
GF-ING-00055,"Amaranth, spinous, leaves, red and green",SRC-IFCT2017,C006,usable_source_value,India-first primary source.
GF-ING-00056,Basella leaves,SRC-IFCT2017,C007,usable_source_value,India-first primary source.
GF-ING-00057,Bathua leaves,SRC-IFCT2017,C008,usable_source_value,India-first primary source.
GF-ING-00058,Beetroot leaves,SRC-IFCT2017,C009,usable_source_value,India-first primary source.
GF-ING-00059,"Betel leaves, big (kolkata)",SRC-IFCT2017,C010,usable_source_value,India-first primary source.
GF-ING-00060,"Betel leaves, small",SRC-IFCT2017,C011,usable_source_value,India-first primary source.
GF-ING-00061,Brussels sprouts,SRC-IFCT2017,C012,usable_source_value,India-first primary source.
GF-ING-00062,"Cabbage, Chinese",SRC-IFCT2017,C013,usable_source_value,India-first primary source.
GF-ING-00063,"Cabbage, collard greens",SRC-IFCT2017,C014,usable_source_value,India-first primary source.
GF-ING-00064,"Cabbage, green",SRC-IFCT2017,C015,usable_source_value,India-first primary source.
GF-ING-00065,"Cabbage, violet",SRC-IFCT2017,C016,usable_source_value,India-first primary source.
