recipe_food_id,ingredient_food_id,ingredient_name,quantity,quantity_unit,source_food_code,ingredient_name_original,amount_original,unit_original
GF-REC-00001,GF-ING-00312,"Milk, whole, Cow",50.0,ml,L002,Milk,50,ml (to taste)
GF-REC-00001,,"Sugar, white",2.0,tsp,UK-17-063,Sugar,2,tsp (to taste)
GF-REC-00001,,"Tea, black, infusion, average",1.5,tsp,UK-17-165,Tea leaves,1.5,tsp
GF-REC-00001,,"Water, distilled",1.5,C,UK-17-377,Water,1.5,cups
GF-REC-00002,GF-ING-00312,"Milk, whole, Cow",75.0,ml,L002,Hot milk,75,ml (to taste)
GF-REC-00002,,"Sugar, white",3.0,tsp,UK-17-063,Sugar,3,tsp (to taste)
GF-REC-00002,,"Coffee, powder, instant",1.5,tsp,UK-17-158,Instant coffee powder,1.5,tsp
GF-REC-00002,,"Water, distilled",1.5,C,UK-17-377,Water,1.5,cups
GF-REC-00003,GF-ING-00312,"Milk, whole, Cow",75.0,ml,L002,Milk,75,ml
GF-REC-00003,,"Sugar, white",1.5,tsp,UK-17-063,Sugar,1.5,tsp
GF-REC-00003,,"Coffee, powder, instant",1.0,tsp,UK-17-158,Instant coffee powder,1,tsp
GF-REC-00003,,"Water, distilled",75.0,ml,UK-17-377,Water,75,ml
GF-REC-00003,,"Drinking chocolate, powder",0.25,tsp,UK-17-498,Drinking chocolate,to sprinkle,
GF-REC-00004,,"Lemons, flesh only, raw, weighed with peel and pips",17.5,g,UK-14-130,Lemon,.5,nos
GF-REC-00004,,"Sugar, white",2.0,tsp,UK-17-063,Sugar,2,tsp (to taste)
GF-REC-00004,,"Tea, black, infusion, average",1.0,tsp,UK-17-165,Tea leaves,1,tsp
GF-REC-00004,,"Water, distilled",7.5,tbsp,UK-17-377,Ice cubes,2 to 3,cubes
GF-REC-00004,,"Water, distilled",0.75,C,UK-17-377,Water,.75,cups
GF-REC-00005,GF-ING-00140,"Mango, green, raw (Mangifera indica)",100.0,g,D057,Raw mango,100,g
GF-REC-00005,GF-ING-00264,Mint leaves (Mentha spicata ),1.0,sprig,G016,Mint leaves,a few,
GF-REC-00005,GF-ING-00273,Cumin seeds (Cuminum cyminum),0.125,tsp,G025,Roasted jeera powder,.125,tsp
GF-REC-00005,GF-ING-00279,"Pepper, black (Piper nigrum)",0.125,tsp,G031,Black pepper powder,.125,tsp
GF-REC-00005,,"Sugar, white",3.0,tbsp,UK-17-063,Sugar,3,tbsp
GF-REC-00005,,Salt,0.5,tsp,UK-17-367,Salt,.5,tsp
GF-REC-00005,,"Water, distilled",10.5,tbsp,UK-17-377,Ice cubes,3 to 4,cubes
GF-REC-00005,,"Water, distilled",1.0,C,UK-17-377,Water,1,cups
GF-REC-00006,GF-ING-00194,"Lemon, juice (Citrus limon)",1.0,tbsp,E033,Lemon juice,1,tbsp
GF-REC-00006,GF-ING-00262,"Ginger, fresh (Zingiber officinale)",10.0,g,G014,Ginger,10,g
GF-REC-00006,GF-ING-00264,Mint leaves (Mentha spicata ),1.0,sprig,G016,Mint,1,sprig
GF-REC-00006,,"Lemons, flesh only, raw, weighed with peel and pips",11.67,g,UK-14-130,Lemon slices,2,circular
GF-REC-00006,,"Pineapple juice, unsweetened",0.5,C,UK-14-286,Pineapple juice,.5,cups
GF-REC-00006,,"Orange juice, freshly squeezed",0.5,C,UK-14-369,Orange juice,.5,cups
GF-REC-00006,,"Sugar, white",4.0,tbsp,UK-17-063,Sugar,4,tbsp
GF-REC-00006,,"Tea, black, infusion, average",2.0,g,UK-17-165,Tea bag,1,nos
GF-REC-00006,,Cola,250.0,ml,UK-17-175,Soda,.25,bottle
GF-REC-00006,,"Water, distilled",18.0,tbsp,UK-17-377,Crushed ice,6,cubes
GF-REC-00006,,"Water, distilled",0.5,C,UK-17-377,Water (for ginger extract),.5,cups
GF-REC-00006,,"Water, distilled",0.5,C,UK-17-377,Water (for tea),.5,cups
GF-REC-00007,GF-ING-00214,Pineapple (Ananas comosus),30.0,g,E053,Pineapple slice,1,slice
GF-REC-00007,GF-ING-00262,"Ginger, fresh (Zingiber officinale)",10.0,g,G014,Ginger,10,g
GF-REC-00007,GF-ING-00264,Mint leaves (Mentha spicata ),1.0,sprig,G016,Mint,1,sprig
GF-REC-00007,,"Lemons, flesh only, raw, weighed with peel and pips",11.67,g,UK-14-130,Lemon slices,2,circular
GF-REC-00007,,"Orange juice, freshly squeezed",2.0,tbsp,UK-14-369,Orange squash,2,tbsp
GF-REC-00007,,"Sugar, white",2.0,tbsp,UK-17-063,Sugar,2,tbsp
GF-REC-00007,,"Tea, black, infusion, average",2.0,g,UK-17-165,Tea bag,1,nos
GF-REC-00007,,Cola,250.0,ml,UK-17-175,Soda,.25,bottle
GF-REC-00007,,"Water, distilled",18.0,tbsp,UK-17-377,Crushed ice,6,cubes
GF-REC-00007,,"Water, distilled",1.0,C,UK-17-377,Water,1,cups
GF-REC-00007,,"Water, distilled",0.5,C,UK-17-377,Water (for tea),.5,cups
