food_id,recipe_code,recipe_name,recipe_source_type,source_id,source_record_id
GF-REC-00001,ASC001,Hot tea (Garam Chai),asc_manual,SRC-INDB,ASC001
GF-REC-00002,ASC002,Instant coffee,asc_manual,SRC-INDB,ASC002
GF-REC-00003,ASC003,Espreso coffee,asc_manual,SRC-INDB,ASC003
GF-REC-00004,ASC004,Iced tea,asc_manual,SRC-INDB,ASC004
GF-REC-00005,ASC005,Raw mango drink (Aam panna),asc_manual,SRC-INDB,ASC005
GF-REC-00006,ASC006,Fruit Punch (with fresh juices),asc_manual,SRC-INDB,ASC006
GF-REC-00007,ASC007,Fruit Punch (with squashes),asc_manual,SRC-INDB,ASC007
GF-REC-00008,ASC008,Lemonade,asc_manual,SRC-INDB,ASC008
GF-REC-00009,ASC009,Lem-o-gin,asc_manual,SRC-INDB,ASC009
GF-REC-00010,ASC010,Cumin infused water (Jeere/Zeere ka pani),asc_manual,SRC-INDB,ASC010
GF-REC-00011,ASC011,Coco pine cooler,asc_manual,SRC-INDB,ASC011
GF-REC-00012,ASC012,Summer cooler,asc_manual,SRC-INDB,ASC012
GF-REC-00013,ASC014,Hot cocoa,asc_manual,SRC-INDB,ASC014
GF-REC-00014,ASC015,Cold coffee with ice cream,asc_manual,SRC-INDB,ASC015
GF-REC-00015,ASC016,Banana milkshake (Kele milkshake),asc_manual,SRC-INDB,ASC016
GF-REC-00016,ASC017,Mango milkshake (Aam milkshake),asc_manual,SRC-INDB,ASC017
GF-REC-00017,ASC018,Pineapple milkshake (Ananas milkshake),asc_manual,SRC-INDB,ASC018
GF-REC-00018,ASC019,Orange milkshake (Narangi milkshake),asc_manual,SRC-INDB,ASC019
GF-REC-00019,ASC020,Egg nog,asc_manual,SRC-INDB,ASC020
GF-REC-00020,ASC021,Sweet Lassi (Meethi lassi),asc_manual,SRC-INDB,ASC021
GF-REC-00021,ASC022,Lassi (salted),asc_manual,SRC-INDB,ASC022
GF-REC-00022,ASC023,Cheese and chilli sandwich ,asc_manual,SRC-INDB,ASC023
GF-REC-00023,ASC024,Egg sandwich (Ande ka sandwich),asc_manual,SRC-INDB,ASC024
GF-REC-00024,ASC025,Cucumber sandwich (Kheere ka sandwich),asc_manual,SRC-INDB,ASC025
GF-REC-00025,ASC026,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),asc_manual,SRC-INDB,ASC026
GF-REC-00026,ASC027,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),asc_manual,SRC-INDB,ASC027
GF-REC-00027,ASC028,Chicken sandwich,asc_manual,SRC-INDB,ASC028
GF-REC-00028,ASC029,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),asc_manual,SRC-INDB,ASC029
GF-REC-00029,ASC030,Rainbow sandwich,asc_manual,SRC-INDB,ASC030
GF-REC-00030,ASC031,Club sandwich ,asc_manual,SRC-INDB,ASC031
GF-REC-00031,ASC032,Vegetarian club sandwich,asc_manual,SRC-INDB,ASC032
GF-REC-00032,ASC033,Pin wheel sandwich,asc_manual,SRC-INDB,ASC033
GF-REC-00033,ASC034,Carrot apple sandwich (Gajar aur seb ka sandwich),asc_manual,SRC-INDB,ASC034
GF-REC-00034,ASC035,Salami sandwich,asc_manual,SRC-INDB,ASC035
GF-REC-00035,ASC036,Vegetable and mayonnaise sandwich,asc_manual,SRC-INDB,ASC036
GF-REC-00036,ASC037,Egg and tomato sandwich (Ande aur tamatar ka sandwich),asc_manual,SRC-INDB,ASC037
GF-REC-00037,ASC038,Sweet open sandwich,asc_manual,SRC-INDB,ASC038
GF-REC-00038,ASC039,Mushroom and cheese sandwich (toasted),asc_manual,SRC-INDB,ASC039
GF-REC-00039,ASC040,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),asc_manual,SRC-INDB,ASC040
GF-REC-00040,ASC041,Pea potato sandwich (toasted) (Matar aloo ka sandwich),asc_manual,SRC-INDB,ASC041
GF-REC-00041,ASC042,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),asc_manual,SRC-INDB,ASC042
GF-REC-00042,ASC043,Chicken sandwich (toasted),asc_manual,SRC-INDB,ASC043
