retention_factor,food_code_org,food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
,US-806341,G536,AJWAIN SEED WHOLE ORGANIC SPICES,usda,995.792,238,47.62,23.81,0.0,0.0,47.6,620.0,,,0.0,667.0,,,0.0,1333.0,16.19,,,,,,,,,,,,,,,,,,,,,,
,US-945506,A513,"ALMOND FLOUR, ALMOND",usda,2389.0640000000003,571,21.43,21.43,50.0,7.14,14.3,3570.0,,,,271.0,,271.0,,736.0,3.57,,,,,,,,26.0,,,,,0.0,,,,,,,0.0,,
,US-476436,H507,ALMOND MILK,usda,71.128,17,0.83,0.42,1.25,0.42,0.4,0.0,830.0,210.0,0.0,42.0,,,75.0,79.0,0.15,,,,,,,,,,,,,,,,,,,,,0.0,
,US-503149,G539,BALSAMIC VINEGAR,usda,418.40000000000003,100,20.0,0.0,0.0,20.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
504.0,US-1862058,B507,BLACK BEANS,usda,230.12,55,15.8,3.94,0.79,,5.5,0.0,,,0.0,31.0,,,496.0,,1.13,,,,,,,,,,,,,,,,,,,,,4.7,
431.0,US-2106513,A509,BLACK RICE,usda,1556.448,372,79.1,11.6,3.49,2.33,4.7,0.0,,,0.0,0.0,,,0.0,,1.67,,,,,,,,,,,,,,,,,,,,,0.0,
,US-627292,X517,"CAJUN SEASONING, CAJUN",usda,0.0,0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,25556.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,
,US-169061,I510,"Candies, gum drops, no sugar or low calorie (sorbitol)",usda,1480.0,354,88.1,0.0,0.2,70.0,0.0,34.0,92.0,64.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3456.0,US-172238,G542,"Capers, canned",usda,96.0,23,4.89,2.36,0.86,0.41,3.2,233.0,63.0,304.0,0.0,40.0,10.0,33.0,2350.0,40.0,1.67,0.374,1.2,,0.078,,0.32,0.0,0.88,0.0,0.0,,,23.0,0.018,0.139,0.652,0.027,0.023,,23.0,4.3,83.0
1.0,US-1098072,L501,"Cheese spread, cream cheese, regular",usda,1234.28,295,3.5,7.1,28.6,3.5,0.0,18020.0,8071.0,1033.0,90.0,71.0,91.0,6.0,436.0,112.0,1.13,0.015,2.7,,,,0.51,300.0,0.77,,,,,12.0,0.02,0.19,0.95,,0.04,,12.0,0.0,19.0
1.0,US-169079,L518,"Cheese, cream, low fat",usda,66.7,208,6.73,7.85,16.7,3.3,0.0,10000.0,4000.0,575.0,54.0,148.0,152.0,8.0,317.0,247.0,0.17,0.032,4.0,,0.011,,0.57,160.0,0.27,,0.3,,5.4,19.0,0.04,0.185,0.125,0.845,0.045,,19.0,0.0,11.0
1.0,US-170850,L513,"Cheese, provolone",usda,1470.0,351,2.14,25.6,26.6,0.56,0.0,17100.0,7390.0,769.0,69.0,756.0,496.0,28.0,727.0,138.0,0.52,0.026,14.5,,0.01,,3.23,230.0,0.23,,0.5,2.2,,10.0,0.019,0.321,0.156,0.476,0.073,,10.0,0.0,68.0
2203.0,US-1100612,H506,Chia seeds,usda,2234.2560000000003,534,28.88,18.29,42.16,1.55,27.3,3663.0,7527.0,28730.0,0.0,255.0,642.0,392.0,30.0,813.0,5.73,1.22,25.4,,,,4.34,0.0,0.31,,,4.3,,87.0,1.644,0.161,3.08,,0.473,,87.0,0.6,651.0
504.0,US-173756,B509,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",usda,1580.0,378,63.0,20.5,6.04,10.7,12.2,603.0,1380.0,2730.0,0.0,57.0,252.0,79.0,24.0,718.0,4.31,0.656,0.0,,4.15,,2.76,0.0,0.82,,,9.0,,557.0,0.477,0.212,1.54,1.59,0.535,,557.0,4.0,40.0
,US-473921,A510,CRACKED WHEAT,usda,1464.4,350,75.0,12.5,1.25,0.0,12.5,0.0,,,0.0,50.0,,,0.0,,4.5,,,,,,,,,,,,,,,,,,,,,0.0,
,US-170857,L515,"Cream, fluid, light (coffee cream or table cream)",usda,815.0,195,3.66,2.96,19.1,3.67,0.0,10200.0,4520.0,789.0,59.0,91.0,92.0,9.0,72.0,136.0,0.05,0.012,4.6,,0.005,,0.32,117.0,0.12,0.0,1.1,1.7,,2.0,0.023,0.19,0.09,0.44,0.044,,2.0,0.8,37.0
,US-463153,X518,CREAMED CORN,usda,665.256,159,17.7,3.54,7.96,5.31,1.8,4420.0,,,27.0,53.0,,,186.0,,0.32,,,,,,0.0,0.265,,,,,,0.0,,,,,,,0.0,3.2,
,US-1860491,X515,"DIJON MUSTARD, DIJON",usda,418.40000000000003,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2400.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,
151.0,US-604150,E514,DRIED MANGO,usda,1464.4,350,85.0,0.0,0.0,67.5,2.5,0.0,,,0.0,0.0,,,175.0,275.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,
3456.0,US-1979740,G548,"GINGER JUICE, GINGER",usda,280.32800000000003,67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.0,,,0.0,417.0,0.0,,,,,,,,,,,,,,,,,,,,,,
151.0,US-173030,E515,"Gooseberries, raw",usda,184.096,44,10.2,0.88,0.58,,4.3,38.0,51.0,317.0,0.0,25.0,27.0,10.0,1.0,198.0,0.31,0.07,0.6,,0.144,,0.12,0.0,0.37,,,,,6.0,0.04,0.03,0.3,0.286,0.08,,6.0,27.7,0.0
,US-806241,G540,HIMALAYAN BLACK SALT,usda,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,38182.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
301.0,US-576790,U506,HOT DOG BUNS,usda,1025.08,245,45.28,9.43,2.83,5.66,1.9,940.0,0.0,0.0,,30.0,,,434.0,72.0,1.89,,,,,,0.0,,,,,,,,,,,,,,,,
,US-499195,W504,JAM,usda,836.8000000000001,200,50.0,0.0,0.0,45.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,
3456.0,US-168573,G551,"Lemon grass (citronella), raw",usda,414.0,99,25.3,1.82,0.49,,,119.0,54.0,170.0,0.0,65.0,101.0,60.0,6.0,723.0,8.17,0.266,0.7,,,,2.23,0.0,,,,,,75.0,0.065,0.135,1.1,0.05,0.08,,75.0,2.6,3.0
151.0,US-167749,G550,"Lemon peel, raw",usda,197.0,47,16.0,1.5,0.3,4.17,10.6,39.0,11.0,89.0,0.0,134.0,12.0,15.0,6.0,160.0,0.8,0.092,0.7,,,,0.25,0.0,0.25,,,0.0,,13.0,0.06,0.08,0.4,0.319,0.172,,13.0,129.0,121.0
,US-2015108,T504,MARGARINE,usda,2987.376,714,0.0,0.0,78.57,,,21400.0,21400.0,35700.0,0.0,,,,750.0,,,,,,,,,,,,,,,,,,,,,,,,
